,default,beego,gin,echo,fasthttp,asjard,go_zero,go_chassis,kratos
0 ms,90674.77,85324.73,106972.79,105939.73,111685.11,106239.22,64749.66,80812.02,86731.04
10 ms,87320.92,87466.10,87604.17,88070.56,91772.30,88078.87,66227.40,75104.82,86302.34
100 ms,9704.45,9722.61,9685.39,9683.18,9735.23,9704.80,9690.12,9691.75,9680.40
500 ms,1940.21,1939.21,1913.85,1932.00,1915.71,1939.52,1874.47,1954.58,1932.63
