,default,beego,gin,echo,fasthttp,asjard,go_zero,go_chassis,kratos
100,120873.29,127054.99,116028.74,122751.56,148504.74,108231.36,82974.61,95918.58,85849.83
500,96266.40,106363.40,124684.62,140835.72,95688.38,118872.51,106275.75,77657.66,79583.24
1000,85188.87,98327.41,116074.79,122947.73,120465.25,103338.43,62929.77,60729.14,69129.14
