,default,beego,gin,echo,fasthttp,asjard,go_zero,go_chassis,kratos
0 ms,11,16,11,20,10,20,50,25,17
10 ms,23,27,15,17,10,15,43,26,29
100 ms,20,23,20,22,10,21,19,32,22
500 ms,18,19,19,18,10,18,27,25,21
